Country Name;Country Code;Indicator Name;Indicator Code;2013;2014;2015;2016;2017;2018;2019
Cabo Verde;CPV;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;1;1;1;1;1;1;1
Costa Rica;CRI;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;2;2;10;10;10;10;10
Petits états des Caraïbes;CSS;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;5;5,384615385;5,307692308;5,307692308;5,307692308;5,307692308;5,307692308
Cuba;CUB;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;;;;;;;
Curacao;CUW;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;;;;;;;
Îles Caïmans;CYM;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;;;;;;;
Chypre;CYP;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;7;7;7;7;7;7;7
République tchèque;CZE;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;5;7;7;7;7;7;7
Allemagne;DEU;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;6;6;6;6;6;6;6
Djibouti;DJI;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;1;1;1;1;1;5;8
Dominique;DMA;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;6;6;6;6;6;6;6
Danemark;DNK;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;8;8;8;8;8;8;8
République dominicaine;DOM;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;1;1;1;1;1;1;1
Algérie;DZA;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;2;2;2;2;2;2;2
Asie de l’Est et Pacifique (hors revenu élevé);EAP;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;5,761904762;5,952380952;6;6,380952381;7;7;7
de dividende précoce démographique;EAR;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;3,786885246;3,901639344;4,131147541;4,262295082;4,606557377;4,819672131;5,295081967
Asie de l’Est et Pacifique;EAS;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;6,103448276;6,24137931;6,310344828;6,551724138;7,24137931;7,24137931;7,24137931
Europe et Asie centrale (hors revenu élevé);ECA;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;5,578947368;5,526315789;6;6,263157895;6,947368421;7,421052632;8,263157895
Europe et Asie centrale;ECS;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;5,346938776;5,428571429;5,612244898;5,714285714;5,979591837;6,18;6,5
Équateur;ECU;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;1;1;1;1;1;1;1
Égypte, République arabe d’;EGY;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;2;2;2;2;2;5;5
Zone euro;EMU;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;4,65;4,65;4,65;4,65;4,65;4,85;4,85
