Country Name;Country Code;Indicator Name;Indicator Code;2013;2014;2015;2016;2017;2018;2019
de Pré-dividende démographique;PRE;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;4,611111111;4,611111111;4,621621622;4,783783784;5,054054054;5,216216216;5,189189189
Porto Rico;PRI;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;11;11;11;11;12;12;12
Corée, République démocratique de;PRK;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;;;;;;;
Portugal;PRT;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;2;2;2;2;2;2;2
Paraguay;PRY;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;2;1;1;1;1;1;1
Cisjordanie et Gaza;PSE;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;0;0;0;0;8;8;8
Petits états insulaires du Pacifique;PSS;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;8,222222222;8,222222222;8,222222222;8,333333333;8,777777778;8,777777778;8,777777778
de Post-dividende démographique;PST;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;5,638888889;5,777777778;5,805555556;5,805555556;5,861111111;5,972222222;5,972222222
Polynésie française;PYF;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;;;;;;;
Qatar;QAT;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;1;1;1;1;1;1;1
Roumanie;ROU;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;9;9;9;9;9;9;9
Fédération de Russie;RUS;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;4;4;7;7;9;9;9
Rwanda;RWA;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;9;10;10;10;10;11;11
Asie du Sud;SAS;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;4,5;4,5;4,5;4,5;5,25;5,5;5,5
Arabie saoudite;SAU;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;1;1;1;1;1;1;3
Soudan;SDN;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;3;3;3;3;3;5;3
Sénégal;SEN;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;6;6;6;6;6;6;6
Singapour;SGP;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;8;8;8;8;8;8;8
Îles Salomon;SLB;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;10;10;10;10;10;10;10
Sierra Leone;SLE;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;5;5;5;5;5;5;5
El Salvador;SLV;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;3;3;9;9;9;9;9
Saint-Marin;SMR;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;1;1;1;1;1;1;1
Somalie;SOM;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;;;0;0;0;0;0
Serbie;SRB;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;6;6;6;6;6;6;6
Afrique subsaharienne (hors revenu élevé);SSA;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;4,717391304;4,739130435;4,744680851;4,872340426;5,085106383;5,212765957;5,212765957
Soudan du Sud;SSD;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;2;2;2;2;2;2;2
Afrique subsaharienne;SSF;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;4,659574468;4,680851064;4,6875;4,8125;5,020833333;5,145833333;5,145833333
Petits états;SST;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;5,020833333;5,125;5,104166667;5,1875;5,416666667;5,5;5,604166667
Sao Tomé-et-Principe;STP;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;0;0;0;0;0;0;0
Suriname;SUR;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;2;2;2;2;2;2;2
République slovaque;SVK;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;7;7;7;7;7;7;7
Slovénie;SVN;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;3;3;3;3;3;3;3
Suède;SWE;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;7;7;7;7;7;7;7
Eswatini;SWZ;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;4;4;4;4;4;4;4
Sint Maarten (Dutch part);SXM;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;;;;;;;
Seychelles;SYC;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;2;2;2;2;2;2;2
République arabe syrienne;SYR;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;1;1;1;1;1;1;1
Îles Turques-et-Caïques;TCA;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;;;;;;;
Tchad;TCD;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;6;6;6;6;6;6;6
Asie de l’Est et Pacifique (BIRD et IDA);TEA;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;5,761904762;5,952380952;6;6,380952381;7;7;7
Europe et Asie centrale (BIRD et IDA);TEC;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;5,772727273;5,727272727;6,136363636;6,363636364;6,954545455;7,363636364;8,090909091
Togo;TGO;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;6;6;6;6;6;6;6
Thaïlande;THA;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;3;3;3;3;7;7;7
Tadjikistan;TJK;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;1;1;1;1;1;1;11
Turkménistan;TKM;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;;;;;;;
Amérique latine et Caraïbes (BIRD et IDA);TLA;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;3,9;4,4;4,9;4,9;4,933333333;4,966666667;4,966666667
Timor-Leste;TLS;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;0;0;0;0;0;0;0
Afrique du Nord et Moyen-Orient (BIRD et IDA);TMN;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;1,25;1,25;1,25;1,25;1,25;1,833333333;3
Tonga;TON;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;10;10;10;10;10;10;10
Asie du Sud (BIRD et IDA);TSA;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;4,5;4,5;4,5;4,5;5,25;5,5;5,5
Afrique subsaharienne (BIRD et IDA);TSS;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;4,659574468;4,680851064;4,6875;4,8125;5,020833333;5,145833333;5,145833333
Trinité-et-Tobago;TTO;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;6;7;7;7;7;7;7
Tunisie;TUN;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;3;3;3;3;3;3;3
Turquie;TUR;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;2;2;2;2;4;7;7
Tuvalu;TUV;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;;;;;;;
Tanzanie;TZA;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;5;5;5;5;5;5;5
Ouganda;UGA;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;5;5;5;5;5;5;5
Ukraine;UKR;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;8;8;8;8;8;8;8
Revenu intermédiaire, tranche supérieure;UMC;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;4,862745098;5,078431373;5,470588235;5,588235294;6,058823529;6,235294118;6,352941176
Uruguay;URY;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;4;4;4;4;4;4;4
États-Unis;USA;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;11;11;11;11;11;11;11
Ouzbékistan;UZB;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;1;1;6;6;6;6;6
Saint-Vincent-et-les Grenadines;VCT;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;5;5;5;5;5;5;5
Venezuela;VEN;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;1;1;1;1;1;1;1
Îles Vierges britanniques;VGB;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;;;;;;;
Îles Vierges (EU);VIR;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;;;;;;;
Viet Nam;VNM;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;7;7;7;7;8;8;8
Vanuatu;VUT;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;10;10;10;11;11;11;11
Monde;WLD;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;4,677248677;4,804232804;4,942105263;5,036842105;5,347368421;5,507853403;5,685863874
Samoa;WSM;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;5;5;5;5;9;9;9
Kosovo;XKX;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;9;9;9;9;11;11;11
Yémen, Rép. du;YEM;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;0;0;0;0;0;0;0
Afrique du Sud;ZAF;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;5;5;5;5;5;5;5
Zambie;ZMB;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;7;7;7;7;11;11;11
Zimbabwe;ZWE;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;5;5;5;5;5;5;6
